308,209,2
333,209,2
224,265,0
37,313,2
265,225,1
237,145,1
353,129,3
212,201,2
22,173,2
179,245,1
237,297,2
17,317,0
286,233,2
204,305,0
319,165,2
203,221,0
269,289,2
339,253,1
305,129,0
344,245,1
213,153,1
242,265,2
69,213,1
215,293,0
100,213,1
46,285,2
314,249,2
289,225,1
297,257,1
237,237,1
194,221,1
210,249,0
177,185,2
189,245,2
174,257,2
342,141,2
102,245,0
77,265,2
134,269,2
24,321,2
318,213,0
286,185,1
172,201,1
319,233,2
176,245,0
302,141,0
326,117,0
161,281,1
312,249,0
47,229,2
159,209,1
224,225,2
62,261,1
362,245,0
303,141,2
204,293,0
80,221,1
47,249,0
128,289,1
346,117,2
242,157,1
300,225,2
83,269,1
90,265,0
96,201,2
342,137,0
315,73,2
157,229,2
297,265,2
361,205,0
78,237,0
172,221,1
92,209,1
36,253,1
128,293,0
313,301,1
37,261,1
271,209,2
329,157,2
170,265,2
24,305,1
358,309,0
278,221,1
136,213,2
19,173,0
318,285,1
286,145,2
120,249,2
46,241,0
370,205,1
53,277,1
315,297,0
116,257,2
350,192,2
95,253,2
318,197,0
37,241,1
231,225,1
162,307,1
247,149,2
296,281,1
308,125,0
302,225,1
345,217,2
160,201,2
317,233,0
222,126,3
322,229,2
123,209,0
201,310,0
105,257,1
165,225,2
300,281,2
162,306,2
273,225,1
169,205,0
44,233,0
98,201,2
173,273,2
119,169,3
76,261,2
259,301,0
104,322,1
168,253,2
97,201,0
51,181,2
285,137,2
260,269,2
299,213,2
299,305,1
254,249,0
94,289,1
200,293,2
140,249,1
218,153,0
71,293,2
267,209,2
92,257,0
192,310,0
59,317,2
129,269,1
340,289,1
264,173,1
90,269,1
334,129,2
293,249,0
271,201,1
84,265,1
185,229,0
66,325,0
67,301,0
288,229,2
107,205,2
104,293,1
216,289,0
323,253,0
63,241,0
290,313,0
313,129,0
41,233,0
109,277,2
311,81,0
268,165,1
181,225,2
191,205,1
40,309,0
307,85,2
296,277,0
295,93,2
64,313,1
373,220,2
330,233,2
195,281,1
348,233,2
274,233,1
55,165,0
252,221,1
178,281,2
341,317,0
324,161,0
86,257,0
317,89,0
176,146,1
305,49,0
14,169,2
239,213,0
176,249,1
155,225,1
339,309,2
230,225,2
264,293,2
212,205,0
186,293,2
213,285,2
345,125,1
53,273,0
71,265,2
383,218,3
199,269,0
64,165,0
263,317,2
342,182,0
258,233,0
181,193,2
295,225,0
358,293,1
46,249,1
150,201,1
242,209,0
299,109,2
279,181,0
298,117,2
281,301,0
107,257,1
300,121,2
313,25,2
252,185,2
335,137,0
91,277,1
331,281,1
234,314,1
189,301,0
24,309,1
173,189,1
254,201,1
175,301,2
101,322,3
303,129,2
286,181,1
165,205,1
366,221,1
201,217,1
257,197,1
176,281,2
119,197,2
310,173,0
200,201,2
343,305,0
342,201,0
232,281,2
272,213,2
54,209,2
249,265,2
333,321,0
342,233,0
310,13,0
275,293,1
249,313,1
58,249,2
282,153,1
327,185,1
23,297,2
316,221,0
305,305,2
262,157,1
183,241,1
227,289,1
332,153,3
355,305,1
333,155,3
291,309,2
206,161,1
127,197,1
227,253,0
119,257,1
142,237,1
325,318,2
287,209,1
186,142,2
92,229,2
87,217,2
238,221,1
191,181,2
299,257,0
299,241,1
340,253,0
168,301,0
319,177,2
83,201,1
255,309,1
194,221,2
60,185,0
325,201,0
137,241,2
143,237,0
78,313,0
126,277,2
122,237,0
329,321,3
65,185,1
304,101,2
226,197,1
98,269,1
320,318,1
236,277,1
29,301,1
116,313,0
124,297,2
111,273,0
282,249,0
81,209,2
254,233,0
27,193,1
160,225,0
253,209,0
301,97,2
291,213,1
267,297,0
117,181,2
205,201,0
290,229,1
100,245,1
309,41,1
309,129,1
69,249,0
155,281,2
310,41,2
79,201,1
235,209,2
280,225,2
56,189,0
348,241,0
367,241,2
39,161,0
203,310,2
220,309,2
220,273,2
132,269,2
98,249,1
285,318,2
48,177,0
13,325,2
226,313,3
55,269,1
55,205,2
304,117,1
47,225,2
77,221,0
19,325,0
313,185,1
111,257,2
250,213,2
316,78,3
340,233,1
241,233,1
160,306,1
133,289,1
38,233,1
55,293,1
92,301,0
130,249,0
333,309,0
312,121,0
350,221,2
180,241,2
303,273,1
68,265,1
293,81,2
254,149,1
40,173,1
323,205,0
283,233,2
109,257,2
321,318,2
348,201,0
202,233,2
177,146,3
344,265,1
250,305,1
147,213,1
285,205,2
74,293,2
88,197,2
131,217,2
234,249,1
75,281,2
261,317,2
206,237,2
58,301,2
100,293,2
324,149,1
40,249,0
59,241,1
119,253,0
128,233,1
350,121,1
308,309,0
372,209,2
158,297,0
139,301,1
314,53,1
273,293,1
119,213,1
221,277,1
279,241,1
299,317,2
171,261,0
280,133,2
196,233,0
260,265,1
284,237,1
86,285,1
253,318,3
267,245,2
71,269,1
209,257,2
322,309,2
324,189,1
100,269,1
52,165,1
349,121,2
43,209,0
76,241,0
362,205,2
146,189,2
361,213,2
61,265,0
316,141,0
190,265,0
341,133,2
41,185,2
352,245,0
154,241,0
152,307,1
260,277,2
139,309,0
330,157,1
328,205,0
315,313,0
346,221,1
81,301,2
354,293,1
264,277,0
353,125,3
122,205,0
85,285,0
57,225,2
278,193,2
330,261,0
216,201,0
20,186,3
78,285,2
85,213,2
119,209,2
53,253,2
151,301,0
69,229,2
173,261,2
325,301,0
69,173,2
116,205,0
296,54,3
235,305,1
25,254,1
57,177,0
158,285,0
77,221,1
91,317,1
226,193,2
248,229,0
143,257,0
133,241,1
239,305,2
281,297,0
202,277,0
205,269,2
318,285,2
291,129,2
348,197,1
121,213,0
275,205,1
249,257,1
312,257,0
336,293,2
314,193,2
48,313,0
217,301,1
234,297,1
326,169,2
263,265,1
129,281,0
53,253,0
76,317,1
351,201,0
311,125,0
333,237,2
206,281,0
310,181,0
97,177,2
280,201,2
288,165,0
284,229,0
203,305,2
123,265,2
243,273,0
289,161,0
79,321,1
243,313,1
197,185,2
160,305,3
284,221,0
351,242,1
151,221,1
293,201,1
153,245,2
354,293,2
217,281,1
277,165,2
185,237,2
312,137,2
105,253,1
46,209,2
290,277,0
301,229,2
76,197,1
314,189,1
249,249,0
330,189,1
114,233,2
44,273,2
112,253,1
343,237,0
240,122,1
317,253,1
181,249,0
305,109,1
72,317,0
254,217,1
213,257,2
